gene_id,log2FoldChange,pvalue,padj,direction
DR_RS00005,-0.56739468,0.030776146,0.055329793,ns
DR_RS00010,-0.723878273,0.00052613,0.001609626,ns
DR_RS00015,3.095026965,2.83E-24,4.24E-22,up
DR_RS00020,0.5287381,0.028063568,0.051095262,ns
DR_RS00025,0.085399688,0.682059768,0.742055766,ns
DR_RS00030,-0.232013755,0.380126512,0.463019706,ns
DR_RS00035,1.601056455,3.34E-08,3.05E-07,up
DR_RS00040,2.24701988,8.30E-13,1.92E-11,up
DR_RS00045,-0.108770594,0.612233169,0.682564258,ns
DR_RS00050,0.516476937,0.035604167,0.062657127,ns
DR_RS00055,-0.206238072,0.454929178,0.534350945,ns
DR_RS00060,-0.328616712,0.103774766,0.15647066,ns
DR_RS00065,-0.005184702,0.982017366,0.986515155,ns
DR_RS00070,-0.078573846,0.717256538,0.772825527,ns
DR_RS00075,-0.189247678,0.397817851,0.481361062,ns
DR_RS00080,0.071309799,0.772783357,0.817247588,ns
DR_RS00085,0.445071781,0.128636647,0.187014833,ns
DR_RS00090,0.070654233,0.821361225,0.858446927,ns
DR_RS00095,0.813389412,0.008707314,0.018614077,ns
DR_RS00100,0.497567053,0.011415823,0.023517881,ns
DR_RS00105,1.148047533,0.000231758,0.000789319,up
DR_RS00115,0.511284138,0.158147716,0.221878886,ns
DR_RS00120,0.377983793,0.350474424,0.433644549,ns
DR_RS00125,-0.18193586,0.548317652,0.622486224,ns
DR_RS00130,-0.253397472,0.285019538,0.366277824,ns
DR_RS00135,0.65115083,0.008784528,0.018754768,ns
DR_RS00140,1.442396812,2.54E-07,1.87E-06,up
DR_RS00145,0.075791552,0.74440403,0.793999724,ns
DR_RS00150,-1.114727917,1.39E-05,6.52E-05,down
DR_RS00155,-0.799759644,0.000116616,0.000430119,ns
DR_RS00160,-0.560495305,0.019829509,0.037819759,ns
DR_RS00165,-0.336946483,0.420333933,0.501959578,ns
DR_RS00170,-0.101235681,0.693086239,0.752321779,ns
DR_RS00175,0.46971342,0.182082329,0.250125622,ns
DR_RS00180,0.159934147,0.569165189,0.642385411,ns
DR_RS00185,-1.540645474,1.01E-06,6.27E-06,down
DR_RS00190,-1.250596938,2.08E-05,9.35E-05,down
DR_RS00195,0.3447124,0.225845898,0.301188895,ns
DR_RS00200,-0.736626369,0.032168852,0.057301311,ns
DR_RS00205,0.945228496,6.95E-05,0.000270223,ns
DR_RS00210,1.440438633,0.000241367,0.000817814,up
DR_RS00215,-0.087637417,0.732364512,0.78484666,ns
DR_RS00220,-0.138276759,0.515824207,0.592549456,ns
DR_RS00225,-0.705132498,0.136987693,0.197324654,ns
DR_RS00230,-0.780243166,0.028340514,0.051485528,ns
DR_RS00235,-0.884844009,0.000729983,0.002131007,ns
DR_RS00240,0.92250627,0.001762191,0.004671723,ns
DR_RS00245,0.539485428,0.060147441,0.098303566,ns
DR_RS00250,0.783962355,0.013080915,0.026483822,ns
DR_RS00255,0.783802003,0.004362191,0.01022923,ns
DR_RS00260,0.63343095,0.003530946,0.008529231,ns
DR_RS00265,-0.455991038,0.052780481,0.087878433,ns
DR_RS00270,-0.272182189,0.317528616,0.400563323,ns
DR_RS00275,-1.076709416,8.11E-07,5.18E-06,down
DR_RS00280,-0.810271492,0.005755176,0.012933421,ns
DR_RS00285,-0.05959766,0.826479476,0.862390573,ns
DR_RS00290,0.051565559,0.81005978,0.849839502,ns
DR_RS00295,0.624386079,0.033621084,0.059623476,ns
DR_RS00300,0.057402787,0.877866198,0.904440252,ns
DR_RS00305,0.348539516,0.242197886,0.319627375,ns
DR_RS00310,0.641052398,0.018719566,0.035973932,ns
DR_RS00315,0.554688321,0.045389499,0.07721378,ns
DR_RS00320,1.941735925,9.21E-08,7.63E-07,up
DR_RS00325,4.766782142,0.000148128,0.000525719,up
DR_RS00330,2.426758156,1.69E-12,3.70E-11,up
DR_RS00335,2.024934077,4.69E-11,8.30E-10,up
DR_RS00340,-0.385780544,0.148499975,0.211317006,ns
DR_RS00345,2.069318089,3.92E-08,3.54E-07,up
DR_RS00350,0.940679293,0.004141661,0.009809981,ns
DR_RS00355,-0.203470018,0.424967763,0.506207075,ns
DR_RS00360,-0.35321815,0.117928862,0.173673212,ns
DR_RS00365,1.349936265,6.66E-07,4.38E-06,up
DR_RS00370,3.049668396,1.18E-25,1.95E-23,up
DR_RS00375,-0.129264141,0.544601309,0.618907878,ns
DR_RS00380,1.345341108,0.009110241,0.019312302,up
DR_RS00385,0.537928595,0.03954597,0.068730186,ns
DR_RS00390,-0.470742347,0.023789502,0.044218904,ns
DR_RS00395,0.926649221,0.010198458,0.021289929,ns
DR_RS00400,-0.534193465,0.018195023,0.035088877,ns
DR_RS00405,0.675815095,0.005655865,0.012753368,ns
DR_RS00410,0.275903724,0.204580324,0.276564705,ns
DR_RS00415,-0.165325295,0.504507802,0.581988313,ns
DR_RS00420,1.417763161,5.58E-05,0.000221304,up
DR_RS00425,0.836257314,6.18E-05,0.000242326,ns
DR_RS00430,-0.385140911,0.072425351,0.115782023,ns
DR_RS00435,1.125963783,0.001162213,0.003245909,up
DR_RS00440,-0.500631427,0.089831194,0.139610818,ns
DR_RS00445,-2.24245955,0.045202691,0.076975597,ns
DR_RS00450,1.131417974,2.10E-05,9.45E-05,up
DR_RS00455,-0.265618563,0.354676596,0.437691673,ns
DR_RS00460,-0.039265691,0.858284723,0.888253142,ns
DR_RS00465,0.34086891,0.1503912,0.213408504,ns
DR_RS00470,-0.24203192,0.284726248,0.36606071,ns
DR_RS00475,0.50835429,0.16163734,0.225907752,ns
DR_RS00480,1.216552299,0.000117827,0.000433613,up
DR_RS00485,0.72160381,0.02843334,0.051583742,ns
DR_RS00490,1.14333534,0.006980636,0.01530066,up
DR_RS00495,0.196502058,0.475124376,0.554311771,ns
DR_RS00500,-0.120196162,0.668086768,0.729991852,ns
DR_RS00505,1.051286966,2.77E-06,1.54E-05,up
DR_RS00510,1.564704705,2.31E-08,2.20E-07,up
DR_RS00515,0.415349055,0.121416423,0.17817129,ns
DR_RS00520,-0.299867132,0.162656779,0.2268507,ns
