bin	ebfC_mean_fpkm
0	1503.5696150299998
1	1090.431338
2	794.4284766300001
3	585.86146904
4	540.29046167
5	227.37883634000002
6	547.60293
7	691.66366634
8	769.78643397
9	854.30840767
10	183.24060599999999
11	367.73976199000003
12	289.46147566
13	2195.5758327999997
14	156.88880267
15	202.21031734000002
16	1658.2139747
17	2391.76459366
18	139.98124833
19	1018.9142113999999
20	8341.23168197
21	401.02397529999996
22	14292.201264
23	1092.2104317
24	1340.26103367
25	6882.22642263
26	415.92016233000004
27	1460.8726853399999
28	71.393392667
29	301.22947903
30	1342.52120556
31	423.57971797
32	1017.92049137
33	188.22201367000002
34	425.218477
35	3267.608895
36	1559.18501367
37	111.36632234000001
38	608.7647220399999
39	834.170071
40	1041.61693837
41	865.5577643
42	437.04810004
43	1707.222555
44	487.58379604000004
45	1646.85235267
46	1192.0852086
47	522.4519327099999
48	514.3163399700001
49	484.6443557
50	513.85614
51	502.27523167
52	406.66370167
53	423.50199137
54	441.56071263
55	356.92440301
56	204.77231164999998
57	1087.141332
58	1098.27388894
59	561.2243846599999
60	602.22635567
61	1923.1944477000002
62	9351.44616163
63	10866.062929700001
64	3243.4524026999998
65	334.37785564
66	577.0982740000001
67	1263.2775449
68	1146.3032990000002
69	1714.543594
70	463.98706037
71	889.3805639399999
72	1776.93456797
73	799.66313197
74	1349.60756867
75	808.709171
76	5921.591644069999
77	651.1697849699999
78	139.64593333
79	1641.2824396699998
80	105.99256199999999
81	239.81741867000002
82	749.1642207
83	592.70174433
84	5143.287949969999
85	2422.44073866
86	6145.5516423
87	2574.2664633300005
88	932.6600715900001
89	787.9922992700001
90	1620.04997213
91	114.61459133
92	541.5029407
93	207.83529433
94	238.19696500999999
95	189.70778067
96	737.4753103
97	956.5367607
98	1587.1095614000003
99	398.00270803
100	380.54985063000004
101	347.2141759599999
102	66.912852
103	177.11718166
104	101.71961799699999
105	60.596383667
106	92.69400967
107	66.60645367000001
108	207.509664
109	277.59312
110	6474.84478933
111	482.08742729
112	962.32055167
113	1261.74521167
114	624.32513097
115	319.17481963000006
116	226.30285465999998
117	443.1354637
118	1114.94866043
119	409.42207767
120	509.31030263
121	834.81922363
122	739.1992136700001
123	5977.8641917
124	488.65025966
125	839.3734347300001
126	82.00659
127	546.7638537
128	1348.722614
129	787.5404357
130	1158.3902206700002
131	2119.10356466
132	510.22963560000005
133	666.3379346300001
134	826.9237513300001
135	209.74699730000003
136	1992.2598913
137	1350.8828277
138	439.63194207000004
139	35.69552433
140	73.646558
141	776.575461
142	7441.4207973
143	4742.049105330001
144	177.3573653
145	454.6954930300001
146	1384.80621633
147	460.09195034
148	202.39183834
149	583.21937974
150	217.58359801
151	635.66847596
152	372.62812534
153	751.4526586300001
154	2089.11139736
155	2027.43265933
156	407.93852596
157	423.40176369999995
158	978.1176681
159	1009.0973707
160	575.74037163
161	436.77593564
162	793.1980536399999
163	1300.13372403
164	177.97398234
165	308.50198666999995
166	747.86929867
167	611.2559279300001
168	461.30269935999996
169	335.91648034
170	136.13442566
171	1186.5288133000001
172	924.6615533000002
173	383.78230563
174	3037.9615093
175	1277.75413097
176	336.05660563000004
177	456.45282137000004
178	171.19236166000002
179	2048.32844841
180	2274.04903467
181	698.91194537
182	3824.8050387
183	886.01907337
184	1315.526774
185	839.14849303
186	400.29497062999997
187	1080.24143
188	507.80357307
189	523.75159036
190	785.6549527
191	6810.093427899999
192	1655.0607476700002
193	3520.1487457
194	636.0631670299999
195	318.324573
196	199.44268203000001
197	4314.00740497
198	451.09679733
199	422.40544463
200	1275.9715270299998
201	872.10060304
202	2127.1033796
203	646.99791663
204	481.49570764
205	586.8629753600001
206	1888.6215313
207	2373.2329424299996
208	470.87821204000005
209	679.09934577
210	575.20572631
211	782.0164940000001
212	291.98921267
213	513.50037064
214	840.702314
215	1482.2846338
216	658.5635036900001
217	1535.62229033
218	879.1440143
219	226.82553033
220	294.22156197
221	179.50621568
222	225.35504367
223	412.73311837000006
224	2301.3853653
225	881.2807613300001
226	6617.874305699999
227	737.4939804
228	2748.50809867
229	898.82801129
230	594.05649403
231	1551.71557903
232	412.4092953
233	349.92524467
234	3395.90335503
235	548.76994297
236	1371.564848
237	356.00691495999996
238	10567.782066369999
239	967.55769973
240	829.39483373
241	1806.8777676999998
242	205.63361334
243	509.51317867
244	768.57422804
245	466.74819933000003
246	299.59886703999996
247	171.74288037000002
248	568.40923804
249	584.8216897000001
250	2889.4490169700002
251	866.4946493300001
252	193.536056
253	2088.7012863
254	942.2005500299999
255	840.52748968
256	477.05141727
257	2497.1953976600003
258	106.10794866
259	855.4849492999999
260	2837.32393734
261	798.1994019999998
262	754.28968464
263	4233.38017827
264	1316.8112500700001
265	182.818873
266	236.46631832999998
267	322.2704467
268	641.99211403
269	2471.80205063
270	644.19369563
271	299.189874
272	729.0067406300001
273	409.09479104
274	1036.33646236
275	640.482821
276	468.47065200000003
277	335.37041534
278	423.37032633
279	462.61079930999995
280	806.30032004
281	933.6633713
282	370.7221337
283	384.75254236
284	985.5033563630001
285	893.1504313
286	580.10917367
287	221.057629
288	1176.04053367
289	484.83522467
290	892.0342237300001
291	685.0408044
292	1090.64204836
293	27.74929633
294	82.198917
295	782.1710200699999
296	269.60569666
297	1515.27822927
298	2508.709313
299	2476.54812267
300	531.25649726
301	125.89009899999999
302	139.17613633999997
303	264.56025265999995
304	525.2982724000001
305	2185.0696962700003
306	2275.2266883
307	212.17669332999998
308	361.74078299999996
309	471.09548473000007
310	410.20748737
311	3172.74486667
312	1159.45977103
313	429.56243900000004
314	457.20951373
315	268.85431270000004
316	687.41804963
317	5279.1128997
318	270.48410263000005
319	978.2659162699999
320	262.42869566
321	1116.249389
322	497.32611237
323	626.6298983
324	336.16133196
325	202.76406533
326	1617.69602237
327	1050.5883199700002
328	2117.9736577000003
329	1833.14330737
330	195.81201333
331	163.606602
332	252.6881733
333	961.45867063
334	499.82343964
335	10108.6739973
336	289.39809966999997
337	1843.1718352999999
338	369.3846177
339	716.70073033
340	229.49198501
