gene_id,DRA,DRB,DRC,dr0199A,dr0199B,dr0199C,extracted_gene_id,wt_fpkm_average,mutant_fpkm_average
gene-DR_RS14970|DR_RS14970,1881.620239,1801.205688,1918.527222,1157.509155,1049.312012,815.438599,DR_RS14970,1867.1177163333332,1007.419922
gene-DR_RS02940|DR_RS02940,33.641701,46.85183,34.325459,32.078281,100.514778,145.366257,DR_RS02940,38.272996666666664,92.65310533333333
gene-DR_RS10920|rplQ,699.658081,472.15921,506.356476,1098.046997,776.888794,940.697021,DR_RS10920,559.3912556666667,938.5442706666666
gene-DR_RS06790|DR_RS06790,1079.346558,904.531433,976.7901,726.153442,542.337097,355.972168,DR_RS06790,986.8893636666667,541.487569
gene-DR_RS10060|DR_RS10060,166.888809,100.932846,110.709618,150.961166,98.968163,106.2071,DR_RS10060,126.17709100000002,118.71214300000001
gene-DR_RS09880|DR_RS09880,827.941833,301.68808,324.322021,549.413513,348.100739,335.755005,DR_RS09880,484.65064466666666,411.0897523333333
gene-DR_RS01790|DR_RS01790,198.643066,155.029907,154.193985,186.978043,148.175476,163.967972,DR_RS01790,169.288986,166.37383033333333
gene-DR_RS14160|DR_RS14160,0.147412,0.692004,0.7355,2.879796,2.366738,7.507077,DR_RS14160,0.524972,4.251203666666666
gene-DR_RS01565|DR_RS01565,56.380497,38.135445,35.079323,46.286953,54.443012,55.815228,DR_RS01565,43.19842166666666,52.18173099999999
gene-DR_RS08200|DR_RS08200,5.727731,4.42567,6.538801,18.51062,14.550021,36.750637,DR_RS08200,5.564067333333334,23.270425999999997
gene-DR_RS07930|DR_RS07930,224.847519,185.060867,198.19989,238.002151,210.937973,156.626068,DR_RS07930,202.70275866666668,201.85539733333334
gene-DR_RS11515|DR_RS11515,1495.866333,1484.253174,1378.524658,1021.379211,1291.388062,961.574524,DR_RS11515,1452.8813883333332,1091.4472656666667
gene-DR_RS11290|DR_RS11290,56.662106,50.075493,48.27895,84.399429,71.879601,172.979767,DR_RS11290,51.672183,109.75293233333332
gene-DR_RS13855|DR_RS13855,13.187878,8.970796,5.671577,6.596732,6.628832,14.756816,DR_RS13855,9.276750333333332,9.32746
gene-DR_RS12020|DR_RS12020,209.275665,130.624512,137.123306,687.955688,617.110413,1722.074829,DR_RS12020,159.00782766666666,1009.0469766666665
gene-DR_RS09565|DR_RS09565,107.430191,103.835388,110.650719,135.558807,141.209793,191.404755,DR_RS09565,107.30543266666666,156.057785
gene-DR_RS06325|DR_RS06325,17.866755,12.293383,11.617436,42.790401,32.449093,79.359306,DR_RS06325,13.925858,51.53293333333334
gene-DR_RS00060|parB,130.103317,119.565628,124.924576,157.181305,169.43103,197.877243,DR_RS00060,124.864507,174.82985933333336
gene-DR_RS10135|DR_RS10135,58.318508,61.393116,80.341309,48.377136,120.650459,142.796875,DR_RS10135,66.684311,103.94149
gene-DR_RS07315|trpC,116.704742,99.637383,112.20697,140.331696,110.183609,104.400352,DR_RS07315,109.51636500000001,118.30521900000001
gene-DR_RS13665|DR_RS13665,30.303535,34.812752,32.090477,70.695908,83.231102,127.320679,DR_RS13665,32.402254666666664,93.74922966666666
gene-DR_RS17020|DR_RS17020,152.468124,172.135605,176.346497,117.220947,118.71801,145.40477,DR_RS17020,166.98340866666666,127.11457566666668
gene-DR_RS02635|DR_RS02635,20.234076,11.108631,12.463206,38.510448,24.981815,41.406628,DR_RS02635,14.601971,34.966297
gene-DR_RS09220|DR_RS09220,16.828159,14.648435,19.330158,50.579716,50.314308,98.507896,DR_RS09220,16.935584000000002,66.46730666666667
gene-DR_RS01450|DR_RS01450,26.010563,14.227269,15.018349,31.170826,28.100742,41.60714,DR_RS01450,18.418727,33.626236
gene-DR_RS05735|DR_RS05735,0.861263,1.970409,2.209074,6.165131,7.343557,20.963442,DR_RS05735,1.6802486666666667,11.49071
gene-DR_RS07015|DR_RS07015,253.552048,248.659592,257.781982,220.653976,196.263641,143.366257,DR_RS07015,253.3312073333333,186.76129133333333
gene-DR_RS16480|DR_RS16480,45.075993,39.685432,40.277882,49.938995,40.719227,70.014542,DR_RS16480,41.679769,53.557588
gene-DR_RS03005|coaBC,26.779072,19.028605,20.89307,74.509056,54.824528,79.920265,DR_RS03005,22.233582333333334,69.751283
gene-DR_RS10355|plsY,107.923676,66.469505,59.381454,144.202667,93.562202,121.532242,DR_RS10355,77.92487833333333,119.76570366666665
gene-DR_RS06970|DR_RS06970,4.903889,2.102548,1.110725,55.553635,46.407871,158.221893,DR_RS06970,2.7057206666666667,86.72779966666667
gene-DR_RS03860|DR_RS03860,48.533714,45.62524,53.341946,84.433144,88.222107,131.316467,DR_RS03860,49.16696666666667,101.32390600000001
gene-DR_RS16940|DR_RS16940,33.895176,37.881195,34.781338,68.418892,54.071533,98.005898,DR_RS16940,35.51923633333333,73.49877433333334
gene-DR_RS07600|DR_RS07600,60.728256,43.172092,42.659946,143.561462,140.936798,237.835541,DR_RS07600,48.85343133333333,174.111267
gene-DR_RS07085|DR_RS07085,38.870041,33.439674,29.902925,51.666767,52.049995,40.567402,DR_RS07085,34.070879999999995,48.09472133333333
gene-DR_RS08920|DR_RS08920,25.273228,27.793833,28.878407,44.471874,53.454716,86.047279,DR_RS08920,27.315155999999998,61.324623
gene-DR_RS01715|DR_RS01715,57.861107,54.503864,51.474926,86.169304,70.313087,67.145905,DR_RS01715,54.613299000000005,74.54276533333334
gene-DR_RS14745|DR_RS14745,725.987183,616.522644,647.364807,691.648865,541.343689,416.24176,DR_RS14745,663.2915446666666,549.7447713333332
gene-DR_RS12490|DR_RS12490,240.194122,337.748322,375.800507,286.906769,403.297028,272.841156,DR_RS12490,317.914317,321.01498433333336
gene-DR_RS08345|DR_RS08345,24.640549,29.300472,28.187616,53.02298,42.156094,62.011639,DR_RS08345,27.37621233333333,52.39690433333334
gene-DR_RS04595|DR_RS04595,48.476555,34.676105,34.538265,103.185402,71.070831,82.195267,DR_RS04595,39.23030833333333,85.48383333333334
gene-DR_RS01535|DR_RS01535,174.903,157.206039,166.5224,168.075119,191.611465,180.416656,DR_RS01535,166.21047966666666,180.03441333333333
gene-DR_RS04250|DR_RS04250,169.691193,125.621193,131.724442,124.116043,144.567459,135.504562,DR_RS04250,142.34560933333333,134.7293546666667
gene-DR_RS12275|paaG,2056.822754,2067.987061,2148.040283,2171.780029,2630.165039,1672.458618,DR_RS12275,2090.950032666666,2158.1345619999997
gene-DR_RS14045|DR_RS14045,0.546721,0.163379,0.0632,1.363564,1.378994,2.892468,DR_RS14045,0.25776666666666664,1.878342
