protein1	protein2
DR_0001	DR_0856
DR_0001	DR_2410
DR_0001	DR_1244
DR_0001	DR_0507
DR_0011	DR_A0214
DR_0011	DR_2405
DR_0016	DR_A0201
DR_0016	DR_0294
DR_0016	DR_2428
DR_0016	DR_0403
DR_0016	DR_1168
DR_0016	DR_2166
DR_0020	DR_0353
DR_0020	DR_0983
DR_0020	DR_1191
DR_0020	DR_1585
DR_0020	DR_2151
DR_0023	DR_0024
DR_0023	DR_1394
DR_0023	DR_0226
DR_0024	DR_0226
DR_0024	DR_1394
DR_0024	DR_A0175
DR_0029	DR_2364
DR_0029	DR_0567
DR_0029	DR_0158
DR_0029	DR_0030
DR_0029	DR_2370
DR_0029	DR_2526
DR_0029	DR_1626
DR_0030	DR_2526
DR_0030	DR_1626
DR_0030	DR_2370
DR_0030	DR_0567
DR_0030	DR_0158
DR_0030	DR_2364
DR_0032	DR_1428
DR_0032	DR_1248
DR_0032	DR_0460
DR_0032	DR_0757
DR_0032	DR_2526
DR_0032	DR_1238
DR_0032	DR_1247
DR_0032	DR_0977
DR_0032	DR_2370
DR_0032	DR_1214
DR_0032	DR_A0053
DR_0032	DR_2480
DR_0032	DR_1072
DR_0032	DR_1946
DR_0032	DR_2032
DR_0032	DR_0117
DR_0032	DR_0257
DR_0032	DR_1947
DR_0032	DR_1960
DR_0032	DR_A0277
DR_0032	DR_0118
DR_0032	DR_0073
DR_0032	DR_0256
DR_0032	DR_1215
DR_0032	DR_1482
DR_0032	DR_2471
DR_0032	DR_1084
DR_0032	DR_1189
DR_0032	DR_1155
DR_0035	DR_1365
DR_0035	DR_0505
DR_0035	DR_1878
DR_0035	DR_0868
DR_0035	DR_1376
DR_0035	DR_0718
DR_0035	DR_2178
DR_0035	DR_1109
DR_0035	DR_0623
DR_0035	DR_0674
DR_0035	DR_2353
DR_0035	DR_2397
DR_0036	DR_1838
DR_0036	DR_2499
DR_0036	DR_0155
DR_0036	DR_2635
DR_0038	DR_0377
DR_0038	DR_1811
DR_0038	DR_0717
DR_0038	DR_2435
DR_0038	DR_0340
DR_0038	DR_0966
DR_0038	DR_0867
DR_0038	DR_2630
DR_0038	DR_0584
DR_0038	DR_0942
DR_0038	DR_0567
DR_0038	DR_2026
DR_0038	DR_0941
DR_0038	DR_2632
DR_0038	DR_0872
DR_0038	DR_2346
DR_0038	DR_2526
DR_0038	DR_1313
DR_0038	DR_0868
DR_0038	DR_0497
DR_0038	DR_2370
DR_0038	DR_1350
DR_0038	DR_1809
DR_0064	DR_1011
DR_0064	DR_1664
DR_0073	DR_2471
DR_0073	DR_1155
DR_0073	DR_1215
DR_0073	DR_0256
DR_0073	DR_1482
DR_0073	DR_2602
DR_0073	DR_0499
DR_0073	DR_0257
DR_0073	DR_A0277
DR_0073	DR_1960
DR_0073	DR_0118
DR_0073	DR_0117
DR_0073	DR_A0126
DR_0073	DR_A0053
DR_0073	DR_2480
DR_0073	DR_1072
DR_0073	DR_1247
DR_0073	DR_1214
DR_0073	DR_1238
DR_0073	DR_1248
DR_0073	DR_0460
DR_0073	DR_0929
DR_0073	DR_1428
DR_0076	DR_0645
DR_0076	DR_1292
DR_0076	DR_A0004
DR_0077	DR_0776
DR_0077	DR_0778
DR_0077	DR_1173
DR_0078	DR_0963
DR_0078	DR_1420
DR_0078	DR_2442
DR_0078	DR_0794
DR_0080	DR_1109
DR_0080	DR_2239
DR_0080	DR_0674
DR_0080	DR_1704
DR_0080	DR_2597
DR_0080	DR_1415
DR_0080	DR_0651
DR_0080	DR_1413
DR_0080	DR_0668
DR_0080	DR_0684
DR_0083	DR_0287
DR_0083	DR_2370
DR_0083	DR_1247
DR_0083	DR_1072
DR_0083	DR_A0053
DR_0083	DR_2480
DR_0083	DR_A0337
DR_0083	DR_1428
DR_0083	DR_1248
DR_0083	DR_2526
DR_0083	DR_0551
DR_0083	DR_1189
DR_0083	DR_1084
DR_0083	DR_2032
DR_0083	DR_1960
DR_0085	DR_2043
DR_0085	DR_2114
DR_0085	DR_0313
DR_0085	DR_0314
DR_0085	DR_0311
DR_0085	DR_2115
DR_0085	DR_0427
DR_0085	DR_0825
DR_0085	DR_2046
DR_0085	DR_0322
DR_0085	DR_0086
DR_0085	DR_0321
DR_0085	DR_2152
DR_0085	DR_2049
DR_0085	DR_2524
DR_0085	DR_2045
DR_0085	DR_0323
DR_0085	DR_2129
DR_0085	DR_2124
DR_0085	DR_0319
DR_0085	DR_2005
DR_0085	DR_2004
DR_0085	DR_2111
DR_0085	DR_2366
DR_0085	DR_0755
DR_0085	DR_0174
DR_0085	DR_0316
DR_0085	DR_0318
DR_0085	DR_0102
DR_0085	DR_2112
DR_0085	DR_0312
DR_0086	DR_2129
DR_0086	DR_0323
DR_0086	DR_2045
DR_0086	DR_2111
DR_0086	DR_2004
DR_0086	DR_2005
DR_0086	DR_0319
DR_0086	DR_2124
DR_0086	DR_2524
DR_0086	DR_2152
DR_0086	DR_2049
